,YEAR,SITE,RACE,SEX,COUNT,POPULATION
0,1999,Acute Lymphocytic,Asian/Pacific Islander,Female,16,5875446
1,1999,Acute Lymphocytic,Black,Female,51,18978030
2,1999,Acute Lymphocytic,Black,Male,81,17195091
3,1999,Acute Lymphocytic,Hispanic,Female,96,16499783
4,1999,Acute Lymphocytic,Hispanic,Male,117,17434346
5,1999,Acute Lymphocytic,White,Female,509,115961839
6,1999,Acute Lymphocytic,White,Male,680,112658596
7,1999,Acute Myeloid,Asian/Pacific Islander,Female,74,5875446
8,1999,Acute Myeloid,Asian/Pacific Islander,Male,77,5538405
9,1999,Acute Myeloid,Black,Female,273,18978030
10,1999,Acute Myeloid,Black,Male,272,17195091
11,1999,Acute Myeloid,Hispanic,Female,167,16499783
12,1999,Acute Myeloid,Hispanic,Male,173,17434346
13,1999,Acute Myeloid,White,Female,2872,115961839
14,1999,Acute Myeloid,White,Male,3346,112658596
15,1999,"Anus, Anal Canal and Anorectum",Black,Female,28,18978030
16,1999,"Anus, Anal Canal and Anorectum",Black,Male,23,17195091
17,1999,"Anus, Anal Canal and Anorectum",White,Female,261,115961839
18,1999,"Anus, Anal Canal and Anorectum",White,Male,144,112658596
19,1999,Bones and Joints,Asian/Pacific Islander,Male,17,5538405
20,1999,Bones and Joints,Black,Female,52,18978030
21,1999,Bones and Joints,Black,Male,71,17195091
22,1999,Bones and Joints,Hispanic,Female,42,16499783
23,1999,Bones and Joints,Hispanic,Male,71,17434346
24,1999,Bones and Joints,White,Female,492,115961839
25,1999,Bones and Joints,White,Male,574,112658596
26,1999,Cervix,American Indian/Alaska Native,Female,19,1421980
27,1999,Cervix,Asian/Pacific Islander,Female,119,5875446
28,1999,Cervix,Black,Female,838,18978030
29,1999,Cervix,Hispanic,Female,378,16499783
30,1999,Cervix,White,Female,3228,115961839
31,1999,Chronic Lymphocytic,Black,Female,153,18978030
32,1999,Chronic Lymphocytic,Black,Male,194,17195091
33,1999,Chronic Lymphocytic,Hispanic,Female,35,16499783
34,1999,Chronic Lymphocytic,Hispanic,Male,43,17434346
35,1999,Chronic Lymphocytic,White,Female,1757,115961839
36,1999,Chronic Lymphocytic,White,Male,2346,112658596
37,1999,Chronic Myeloid,Asian/Pacific Islander,Female,16,5875446
38,1999,Chronic Myeloid,Asian/Pacific Islander,Male,29,5538405
39,1999,Chronic Myeloid,Black,Female,75,18978030
40,1999,Chronic Myeloid,Black,Male,107,17195091
41,1999,Chronic Myeloid,Hispanic,Female,55,16499783
42,1999,Chronic Myeloid,Hispanic,Male,69,17434346
43,1999,Chronic Myeloid,White,Female,715,115961839
44,1999,Chronic Myeloid,White,Male,842,112658596
45,1999,Colon and Rectum,American Indian/Alaska Native,Female,84,1421980
46,1999,Colon and Rectum,American Indian/Alaska Native,Male,88,1410781
47,1999,Colon and Rectum,Asian/Pacific Islander,Female,414,5875446
48,1999,Colon and Rectum,Asian/Pacific Islander,Male,419,5538405
49,1999,Colon and Rectum,Black,Female,3577,18978030
50,1999,Colon and Rectum,Black,Male,3195,17195091
51,1999,Colon and Rectum,Hispanic,Female,965,16499783
52,1999,Colon and Rectum,Hispanic,Male,1067,17434346
53,1999,Colon and Rectum,White,Female,24834,115961839
54,1999,Colon and Rectum,White,Male,24611,112658596
55,1999,Colon excluding Rectum,American Indian/Alaska Native,Female,71,1421980
